Sample	Site	Rep
S001	NV001	1
S002	NV002	1
S003	NV004	1
S004	NV005	1
S005	NV006	1
S006	NV007	1
S007	NV008	1
S008	NV009	1
S009	NT010	1
S010	NT011	1
S011	NT012	1
S012	NT013	1
S013	NT014	1
S014	NT015	1
S015	NT017	1
S016	NT018	1
S017	NH020	1
S018	NH021	1
S019	NH022	1
S020	NH023	1
S021	NH024	1
S022	NH025	1
S023	NH026	1
S024	VU027	1
S025	VU028	1
S026	VU029	1
S027	VU030	1
S028	VU031	1
S029	VU033	1
S030	VU034	1
S031	VU035	1
S032	VO036	1
S033	VO037	1
S034	VO038	1
S035	VO039	1
S036	VO041	1
S037	VO042	1
S038	VO043	1
S039	VD044	1
S040	NT016	1
S041	VU032	1
S042	VO040	1
S043	VD049	1
S044	VD050	1
S045	VD051	1
S046	VD052	1
S047	EM053	1
S048	EM054	1
S049	EM055	1
S050	EM056	1
S051	EM057	1
S052	EM058	1
S053	EM059	1
S054	EM060	1
S055	EM061	1
S056	ES062	1
S057	ES063	1
S058	ES065	1
S059	ES066	1
S060	ES067	1
S061	ES068	1
S062	ES069	1
S063	ES070	1
S064	EV071	1
S065	EV072	1
S067	NV003	1
S068	NH019	1
S072	EV073	1
S073	EV074	1
S074	EV075	1
S075	EV076	1
S076	EV077	1
S077	EV078	1
S078	SN079	1
S079	SN081	1
S080	SN082	1
S081	SN084	1
S082	SN085	1
S083	SN086	1
S084	SN087	1
S085	VD045	1
S086	VD046	1
S087	VD047	1
S088	VD048	1
S089	ES064	1
S090	SN080	1
S091	SV088	1
S092	Blank4_1	1
S093	SV089	1
S094	SV090	1
S095	SV091	1
S096	SV092	1
S097	SV093	1
S098	SV094	1
S099	SV095	1
S100	SM096	1
S101	SM097	1
S102	SM098	1
S103	SM099	1
S104	neg_9	1
S105	SM100	1
S106	SM101	1
S107	SM102	1
S108	SM103	1
S109	FF105	1
S110	FF106	1
S111	FF107	1
S112	FF108	1
S113	FF109	1
S114	FF110	1
S115	FF111	1
S116	FF112	1
S117	FL113	1
S118	FL114	1
S119	FL115	1
S120	FL116	1
S121	FL117	1
S122	FL118	1
S123	FL119	1
S124	FM121	1
S125	FM122	1
S126	FM123	1
S127	BLANK3	1
S128	FM124	1
S129	FM125	1
S130	FM126	1
S131	FM127	1
S132	SM104	1
S133	FL120	1
S134	FM128	1
S135	FM129	1
S136	FM130	1
S138	NV001	2
S139	NV002	2
S140	NV003	2
S141	NV004	2
S142	NV005	2
S143	NV006	2
S144	NV007	2
S145	NV008	2
S146	NV009	2
S147	NT010	2
S148	NT011	2
S149	NT012	2
S150	NT013	2
S151	NT014	2
S152	NT015	2
S153	NT017	2
S154	NT018	2
S155	NH019	2
S156	NH020	2
S157	NH021	2
S158	NH022	2
S159	NH023	2
S160	NH024	2
S161	NH025	2
S162	NH026	2
S163	VU027	2
S164	neg_4	2
S165	VU028	2
S166	VU029	2
S167	VU030	2
S168	VU031	2
S169	VU033	2
S170	VU034	2
S171	VU035	2
S172	Blank1_2	2
S173	VO036	2
S174	VO037	2
S175	VO038	2
S176	VO039	2
S177	VO041	2
S178	VO042	2
S179	VO043	2
S180	VD044	2
S181	NT016	2
S182	VU032	2
S183	VO040	2
S184	Blank2_2	2
S185	VD049	2
S186	VD050	2
S187	VD051	2
S188	VD052	2
S189	EM053	2
S190	EM054	2
S191	EM055	2
S192	EM056	2
S193	EM057	2
S194	EM058	2
S195	EM059	2
S196	neg_7	2
S197	EM060	2
S198	EM061	2
S199	ES062	2
S200	ES063	2
S201	ES065	2
S202	ES066	2
S203	ES067	2
S204	ES068	2
S205	ES069	2
S206	ES070	2
S207	EV071	2
S208	EV072	2
S209	EV073	2
S210	EV074	2
S211	EV075	2
S212	EV076	2
S213	EV077	2
S214	EV078	2
S215	SN079	2
S216	SN081	2
S217	SN082	2
S218	SN084	2
S219	SN085	2
S220	SN086	2
S221	SN087	2
S222	VD045	2
S223	VD046	2
S224	VD047	2
S225	VD048	2
S226	ES064	2
S227	SN080	2
S228	SV088	2
S229	Blank4_1	2
S230	SV089	2
S231	SV090	2
S232	SV091	2
S233	SV092	2
S234	SV093	2
S235	SV094	2
S236	SV095	2
S237	SM096	2
S238	SM097	2
S239	SM098	2
S240	SM099	2
S241	neg_9	2
S242	SM100	2
S243	SM101	2
S244	SM102	2
S245	SM103	2
S246	FF105	2
S247	FF106	2
S248	FF107	2
S249	FF108	2
S250	FF109	2
S251	FF110	2
S252	FF111	2
S253	FF112	2
S254	FL113	2
S255	FL114	2
S256	FL115	2
S257	FL116	2
S258	FL117	2
S259	FL118	2
S260	FL119	2
S261	FM121	2
S262	FM122	2
S263	FM123	2
S264	BLANK3	2
S265	FM124	2
S266	FM125	2
S267	FM126	2
S268	FM127	2
S269	SM104	2
S270	FL120	2
S271	FM128	2
S272	FM129	2
S273	FM130	2
S274	SN083	2
S275	NV001	3
S276	NV002	3
S277	NV003	3
S278	NV004	3
S279	NV005	3
S280	NV006	3
S281	NV007	3
S282	NV008	3
S283	NV009	3
S284	NT010	3
S285	NT011	3
S286	NT012	3
S287	NT013	3
S288	NT014	3
S289	NT015	3
S290	NT017	3
S291	NT018	3
S292	NH019	3
S293	NH020	3
S294	NH021	3
S295	NH022	3
S296	NH023	3
S297	NH024	3
S298	NH025	3
S299	NH026	3
S300	VU027	3
S301	neg_4	3
S302	VU028	3
S303	VU029	3
S304	VU030	3
S305	VU031	3
S306	VU033	3
S307	VU034	3
S308	VU035	3
S309	Blank1_2	3
S310	VO036	3
S311	VO037	3
S312	VO038	3
S313	VO039	3
S314	VO041	3
S315	VO042	3
S316	VO043	3
S317	VD044	3
S318	NT016	3
S319	VU032	3
S320	VO040	3
S321	Blank2_2	3
S322	VD049	3
S323	VD050	3
S324	VD051	3
S325	VD052	3
S326	EM053	3
S327	EM054	3
S328	EM055	3
S329	EM056	3
S330	EM057	3
S331	EM058	3
S332	EM059	3
S333	neg_7	3
S334	EM060	3
S335	EM061	3
S336	ES062	3
S337	ES063	3
S338	ES065	3
S339	ES066	3
S340	ES067	3
S341	ES068	3
S342	ES069	3
S343	ES070	3
S344	EV071	3
S345	EV072	3
S346	EV073	3
S347	EV074	3
S348	EV075	3
S349	EV076	3
S350	EV077	3
S351	EV078	3
S352	SN079	3
S353	SN081	3
S354	SN082	3
S355	SN084	3
S356	SN085	3
S357	SN086	3
S358	SN087	3
S359	VD045	3
S360	VD046	3
S361	VD047	3
S362	VD048	3
S363	ES064	3
S364	SN080	3
S365	SV088	3
S366	Blank4_1	3
S367	SV089	3
S368	SV090	3
S369	SV091	3
S370	SV092	3
S371	SV093	3
S372	SV094	3
S373	SV095	3
S374	SM096	3
S375	SM097	3
S376	SM098	3
S377	SM099	3
S378	neg_9	3
S379	SM100	3
S380	SM101	3
S381	SM102	3
S382	SM103	3
S383	FF105	3
